evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 2:00:00 PM,2/23/2026 9:00:00 AM,2/23/2026 3:00:00 PM,2/23/2026 10:00:00 AM,RTO_COMBINED,114141
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 3:00:00 PM,2/23/2026 10:00:00 AM,2/23/2026 4:00:00 PM,2/23/2026 11:00:00 AM,RTO_COMBINED,112262
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 4:00:00 PM,2/23/2026 11:00:00 AM,2/23/2026 5:00:00 PM,2/23/2026 12:00:00 PM,RTO_COMBINED,110545
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 5:00:00 PM,2/23/2026 12:00:00 PM,2/23/2026 6:00:00 PM,2/23/2026 1:00:00 PM,RTO_COMBINED,108764
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 6:00:00 PM,2/23/2026 1:00:00 PM,2/23/2026 7:00:00 PM,2/23/2026 2:00:00 PM,RTO_COMBINED,107508
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 7:00:00 PM,2/23/2026 2:00:00 PM,2/23/2026 8:00:00 PM,2/23/2026 3:00:00 PM,RTO_COMBINED,106464
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 8:00:00 PM,2/23/2026 3:00:00 PM,2/23/2026 9:00:00 PM,2/23/2026 4:00:00 PM,RTO_COMBINED,106700
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 9:00:00 PM,2/23/2026 4:00:00 PM,2/23/2026 10:00:00 PM,2/23/2026 5:00:00 PM,RTO_COMBINED,108985
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 10:00:00 PM,2/23/2026 5:00:00 PM,2/23/2026 11:00:00 PM,2/23/2026 6:00:00 PM,RTO_COMBINED,113171
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 11:00:00 PM,2/23/2026 6:00:00 PM,2/24/2026 12:00:00 AM,2/23/2026 7:00:00 PM,RTO_COMBINED,116715
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 12:00:00 AM,2/23/2026 7:00:00 PM,2/24/2026 1:00:00 AM,2/23/2026 8:00:00 PM,RTO_COMBINED,116923
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 1:00:00 AM,2/23/2026 8:00:00 PM,2/24/2026 2:00:00 AM,2/23/2026 9:00:00 PM,RTO_COMBINED,115793
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 2:00:00 AM,2/23/2026 9:00:00 PM,2/24/2026 3:00:00 AM,2/23/2026 10:00:00 PM,RTO_COMBINED,113383
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 3:00:00 AM,2/23/2026 10:00:00 PM,2/24/2026 4:00:00 AM,2/23/2026 11:00:00 PM,RTO_COMBINED,109452
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 4:00:00 AM,2/23/2026 11:00:00 PM,2/24/2026 5:00:00 AM,2/24/2026 12:00:00 AM,RTO_COMBINED,105631
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 5:00:00 AM,2/24/2026 12:00:00 AM,2/24/2026 6:00:00 AM,2/24/2026 1:00:00 AM,RTO_COMBINED,104598
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 6:00:00 AM,2/24/2026 1:00:00 AM,2/24/2026 7:00:00 AM,2/24/2026 2:00:00 AM,RTO_COMBINED,103516
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 7:00:00 AM,2/24/2026 2:00:00 AM,2/24/2026 8:00:00 AM,2/24/2026 3:00:00 AM,RTO_COMBINED,103371
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 8:00:00 AM,2/24/2026 3:00:00 AM,2/24/2026 9:00:00 AM,2/24/2026 4:00:00 AM,RTO_COMBINED,104146
